   ------>  https://minhaconta.globo.com
   ------>  http://globo.com#
'The Voice Kids': as apresentações da 3ª Audição às Cegas   ------>  https://gshow.globo.com/realities/the-voice-kids/2021/noticia/the-voice-kids-acompanhe-as-apresentacoes-do-terceiro-dia-de-audicoes-as-cegas.ghtml
Borat de 'Amor & Sexo' tem alta após passar por nova cirurgia   ------>  https://revistaquem.globo.com/QUEM-News/noticia/2021/06/bruno-miranda-o-borat-de-amor-sexo-tem-alta-hospitalar-apos-nova-cirurgia.html
No Brasil e no mundo   ------>  https://globoesporte.globo.com/
Após críticas de Messi, campo pode ter melhoria   ------>  https://ge.globo.com/futebol/copa-america/noticia/noticia-copa-america-gramado-estadio-nilton-santos-conmebol.ghtml
Uefa investiga racismo e homofobia sobre Hungria   ------>  https://ge.globo.com/futebol/eurocopa/noticia/uefa-abre-investigacoes-contra-abusos-racistas-e-homofobicos-nos-jogos-da-hungria-na-euro.ghtml
Cartoleiro PRO tem mais ligas e conteúdo exclusivo   ------>  https://cartolafc.globo.com/assine.html
Com medo de Lázaro, família com grávida dorme dentro de carro   ------>  https://g1.globo.com/go/goias/noticia/2021/06/20/com-medo-de-lazaro-familia-com-gravida-dorme-dentro-de-carro-em-frente-a-sede-da-forca-tarefa-em-cocalzinho-de-goias.ghtml
‘Estou indo te pegar’, posta deputada com fuzil em helicóptero ao citar Lázaro   ------>  https://blogs.oglobo.globo.com/sonar-a-escuta-das-redes/post/estou-indo-ai-te-pegar-portando-fuzil-em-helicoptero-deputada-federal-publica-caca-lazaro-barbosa-nas-redes.html
Bebê nasce dentro do carro em avenida de Foz do Iguaçu, vídeo   ------>  https://g1.globo.com/pr/oeste-sudoeste/noticia/2021/06/20/bebe-nasce-dentro-do-carro-em-avenida-de-foz-do-iguacu-foi-muito-emocionante-diz-mae.ghtml
Presa por matar e esquartejar marido, Elize Matsunaga volta aos tribunais pela filha   ------>  https://oglobo.globo.com/brasil/presa-por-esquartejar-marido-elize-matsunaga-volta-aos-tribunais-em-disputa-pela-filha-25069415
A história dos filhos roubados das mães pela ditadura de Pinochet   ------>  https://g1.globo.com/mundo/noticia/2021/06/20/fui-arrancada-dos-bracos-de-minha-mae-os-bebes-roubados-na-ditadura-de-pinochet-no-chile.ghtml
Streamer é desligado de equipe após comentários transfóbicos em live   ------>  https://www.techtudo.com.br/noticias/2021/06/buxexa-e-desligado-do-fluxo-apos-comentarios-transfobicos-em-live-esports.ghtml
Miliciano Ecko usava empresas, farmácias e compra de cavalos para 'lavar' dinheiro   ------>  https://extra.globo.com/casos-de-policia/miliciano-ecko-usava-empresas-farmacias-compra-de-cavalos-para-lavar-dinheiro-que-lucrava-com-crime-25069118.html
Acidente nos EUA com 18 veículos mata 9 crianças e 1 adulto   ------>  https://g1.globo.com/mundo/noticia/2021/06/20/acidente-de-carro-nos-estados-unidos-deixa-mortos.ghtml
Navio colide e destrói píer de travessia de balsas em SP, vídeo   ------>  https://g1.globo.com/sp/santos-regiao/noticia/2021/06/20/navio-colide-e-destroi-pier-de-travessia-de-balsas-no-litoral-de-sp-video.ghtml
Youtubers jogam Toyota Hilux a 3 mil metros de altura para 'testar', vídeo   ------>  https://autoesporte.globo.com/curiosidades/noticia/2021/06/video-youtubers-jogam-toyota-hilux-a-3-mil-metros-de-altura-para-testar-durabilidade-da-picape.ghtml
PODCASTS DO G1   G1 OUVIU #146   A cantora trans Urias e o pop eletrônico 'diferentão'   ------>  https://g1.globo.com/podcast/g1-ouviu/noticia/2021/06/20/g1-ouviu-146-urias-e-o-pop-eletronico-diferentao.ghtml
Mais podcasts do G1 ›   ------>  https://g1.globo.com/podcast/
mais notícias ›   ------>  https://g1.globo.com/
Classificadas, Brasil e Turquia fazem último jogo da 1ª fase da Liga, SIGA   ------>  https://ge.globo.com/volei/ao-vivo/liga-das-nacoes-brasil-x-turquia.ghtml
Verstappen provoca e diz que ultrapassagem contra Hamilton foi fácil   ------>  https://ge.globo.com/motor/formula-1/noticia/verstappen-diz-que-ultrapassagem-da-vitoria-no-gp-da-franca-foi-facil.ghtml
Ex-Corinthians e Barça, Paulinho rescinde e fica livre no mercado   ------>  https://ge.globo.com/futebol/futebol-internacional/noticia/ex-corinthians-e-barcelona-paulinho-rescinde-com-guangzhou-e-fica-livre-no-mercado.ghtml
Cristiano Ronaldo faz apelo após derrota na Eurocopa: 'Acreditem tanto quanto nós'   ------>  https://ge.globo.com/futebol/eurocopa/noticia/acreditem-tanto-como-nos-cristiano-ronaldo-faz-apelo-a-torcida-apos-derrota-de-portugal-para-alemanha.ghtml
Ex-atacante da Ponte Preta, Lucas Pereira morre aos 39 anos com Covid   ------>  https://ge.globo.com/sp/campinas-e-regiao/futebol/times/ponte-preta/noticia/ex-atacante-da-ponte-preta-lucas-pereira-morre-aos-39-anos-por-complicacoes-da-covid-19.ghtml
Vojvoda na intimidade: técnico sensação no Fortaleza relata adaptação   ------>  https://ge.globo.com/ce/futebol/times/fortaleza/noticia/vojvoda-na-intimidade-e-no-futebol-tecnico-sensacao-no-fortaleza-fala-em-entrevista-exclusiva.ghtml
Série revisita ascensão e queda de João Havelange, o maior cartola brasileiro   ------>  https://blogs.oglobo.globo.com/lauro-jardim/post/serie-revisita-ascensao-e-queda-do-maior-cartola-do-futebol-brasileiro.html
Blindado estreia com nocaute no UFC, e Virna se destaca no preliminar   ------>  https://ge.globo.com/combate/noticia/videos-do-ufc-bruno-blindado-estreia-com-nocaute-e-virna-se-destaca-no-card-preliminar.ghtml
ACOMPANHE Surf Ranch Pro, sexta etapa do circuito Mundial de Surfe   ------>  https://ge.globo.com/radicais/surfe/mundial-de-surfe/ao-vivo/mundial-de-surfe-surf-ranch-pro.ghtml
Atleta olímpico de Uganda é vetado em Tóquio após positivar para Covid   ------>  https://ge.globo.com/olimpiadas/noticia/membro-da-equipe-olimpica-de-uganda-e-vetado-de-entrar-em-toquio-apos-positivar-para-covid.ghtml
Podcasts do GE   GRINGOLÂNDIA   Alemanha complica Portugal no grupo da morte, e França e Espanha tropeçam   ------>  https://interativos.globoesporte.globo.com/podcasts/programa/gringolandia/episodio/pocket-euro-09-alemanha-complica-portugal-no-grupo-da-morte-e-franca-e-espanha-tropecam/
Mais podcasts do GE ›   ------>  https://interativos.globoesporte.globo.com/podcasts/
mais esportes ›   ------>  https://globoesporte.globo.com/
Deborah Secco posta férias nas Maldivas com Maria Flor e Hugo   ------>  https://revistaglamour.globo.com/Celebridades/noticia/2021/06/deborah-secco-curte-maldivas-coma-familia.html
Luciana Gimenez mostra encontro de Lucas com o pai Mick Jagger   ------>  https://casavogue.globo.com/Curiosidades/noticia/2021/06/luciana-gimenez-posta-foto-com-lucas-e-mick-jagger-em-comoracao-ao-dia-dos-pais.html
Sarah Andrade mostra resultado de lipo, compare antes e depois do BBB   ------>  https://revistaglamour.globo.com/Celebridades/noticia/2021/06/sarah-andrade-mostra-resultado-de-lipo.html
Milionário, ex-BBB Gil do Vigor se diz feliz na carreira, mas busca 'cachorrada com amor'   ------>  https://extra.globo.com/tv-e-lazer/milionario-gil-do-vigor-se-diz-feliz-na-carreira-na-fe-mas-ainda-procura-da-felicidade-completa-quero-cachorrada-com-amor-25066395.html
Santoni sobre namorado após cenas de sexo a três: 'Animado, não teve ciúme'   ------>  https://kogut.oglobo.globo.com/noticias-da-tv/noticia/2021/06/com-cenas-de-sexo-tres-em-serie-isabella-santoni-fala-sobre-reacao-do-namorado-ficou-animado-nao-teve-ciume.html
Ana Paula Siebert encanta fãs ao mostrar alegria de Vicky no mar   ------>  https://revistaquem.globo.com/QUEM-News/noticia/2021/06/ana-paula-siebert-encanta-fas-ao-mostrar-alegria-de-vicky-no-mar.html
Paula Fernandes nega plástica e revela congelamento de óvulos: 'Tempo para decidir'   ------>  https://gshow.globo.com/Famosos/noticia/paula-fernandes-nega-plastica-e-revela-congelamento-de-ovulos.ghtml
Anitta atualiza marquinha de biquini em viagem à República Dominicana   ------>  https://revistaquem.globo.com/QUEM-News/noticia/2021/06/anitta-atualiza-marquinha-de-biquini-em-viagem-republica-dominicana.html
Gloria Groove revê passado na periferia e projeta: 'Por mais 'Glorias' tendo espaço'   ------>  https://extra.globo.com/famosos/gloria-groove-revisita-passado-na-periferia-em-novo-trabalho-fala-de-representatividade-por-mais-glorias-tendo-espaco-25069327.html
Arthur Aguiar abre caixinha de perguntas e Sophia rouba a cena   ------>  https://revistamarieclaire.globo.com/Celebridades/noticia/2021/06/arthur-aguiar-abre-caixinha-de-perguntas-e-sophia-rouba-cena.html
Astrologia   HORÓSCOPO   Sensíveis? Conheça os famosos do signo de câncer   ------>  https://gshow.globo.com/horoscopo-etc/stories/2021/06/20/conheca-os-famosos-do-signo-de-cancer.ghtml
Ouça podcasts de entretenimento ›   ------>  https://gshow.globo.com/podcast/
mais variedades ›   ------>  https://gshow.globo.com/
Enterrada de Giannis para os Bucks no jogo 7 contra os Nets   ------>  https://ge.globo.com/playlist/ultimos-videos-do-ge.ghtml#video-9620084-id
Goleiro do ASA, Luiz Mach atravessa o campo de joelhos   ------>  https://ge.globo.com/playlist/ultimos-videos-do-ge.ghtml#video-9619994-id
Após golaço de bicicleta, Rodrigo Muniz lamenta derrota do Flamengo   ------>  https://ge.globo.com/futebol/times/flamengo/noticia/apos-golaco-de-bicicleta-rodrigo-muniz-lamenta-derrota-do-flamengo-controlamos-o-jogo-todo.ghtml
Vasco bate CRB e vence a primeira na Série B   ------>  https://ge.globo.com/futebol/video/melhores-momentos-de-vasco-3-x-0-crb-pela-5a-rodada-do-campeonato-brasileiro-serie-b-9619304.ghtml
Lucas Di Grassi vence a etapa de Puebla da Fórmula E   ------>  https://ge.globo.com/motor/formula-e/noticia/wehrlein-e-punido-e-lucas-di-grassi-e-campeao-da-formula-e.ghtml
Ossadas humanas empilhadas em sacos de lixo são encontradas em cemitério em SP   ------>  https://g1.globo.com/sp/santos-regiao/video/ossadas-humanas-empilhadas-em-sacos-de-lixo-sao-encontradas-em-cemiterio-de-itanhaem-9620195.ghtml
Rosas são 'plantadas' em praia do Rio pelas 500 mil mortes   ------>  https://g1.globo.com/globonews/jornal-globonews/video/rosas-sao-plantadas-em-copacabana-em-memoria-as-vitimas-da-covid-19-9620172.ghtml
Cães farejadores vão ajudar polícia nas buscas pelo assassino Lázaro Barbosa   ------>  https://g1.globo.com/globonews/jornal-globonews/video/caes-farejadores-vao-ajudar-policia-nas-buscas-pelo-assassino-lazaro-barbosa-9620126.ghtml
Homem morre após colocar fogo na própria casa na Grande BH   ------>  https://g1.globo.com/mg/minas-gerais/video/homem-morre-apos-colocar-fogo-na-propria-casa-na-grande-bh-9620127.ghtml
Acidente entre carreta e ônibus deixa 37 feridos na GO-222, em Anicuns   ------>  https://g1.globo.com/go/goias/video/acidente-entre-carreta-e-onibus-deixa-37-feridos-na-go-222-em-anicuns-9620104.ghtml
Google quer rastrear celular roubado até sem internet   ------>  https://www.techtudo.com.br/noticias/2021/06/google-quer-sistema-de-rastreio-para-rivalizar-com-apple-indica-codigo-vazado.ghtml
Jogo aguardado tem lançamento e detalhes revelados   ------>  https://www.techtudo.com.br/noticias/2021/06/halo-infinite-veja-previsao-de-lancamento-e-gameplay-do-jogo.ghtml
GTA 5 RP: Cidade Alta terá Parada LGBTQIA+   ------>  https://ge.globo.com/esports/noticia/gta-5-rp-cidade-alta-tera-parada-lgbtqia-neste-domingo.ghtml
Naruto, Dragon Ball, Marvel e mais TCGs inusitados   ------>  https://ge.globo.com/esports/noticia/naruto-dragon-ball-marvel-e-mais-tcgs-inusitados.ghtml
Consumo Consciente         Chef dá dicas para evitar o desperdício de alimentos em casa   ------>  https://umsoplaneta.globo.com/sociedade/consumo-consciente/noticia/2021/06/20/chef-joao-diamante-da-dicas-para-evitar-o-desperdicio-de-alimentos-em-casa.ghtml
'Arriscando suas vidas'         Christiane Torloni defende voluntários na Amazônia   ------>  https://revistaquem.globo.com/Um-So-Planeta/noticia/2021/06/christiane-torloni-defende-voluntarios-na-amazonia-arriscando-suas-vidas.html
Reutilização de materiais         Primeiro museu de plástico reciclado é lançado em Madri   ------>  https://revistapegn.globo.com/Um-So-Planeta/noticia/2021/06/primeiro-museu-de-plastico-reciclado-e-lancado-em-madri-na-espanha.html
Também conhecido como curau         Lucy Alves ensina como preparar canjica de milho, veja vídeo   ------>  https://receitas.globo.com/canjica-de-milho-da-lucy-alves.ghtml
Clássico das festas         Saiba como fazer paçoca, um dos doces mais tradicionais da época   ------>  https://revistagloborural.globo.com/vida-na-fazenda/receitas/noticia/2021/06/como-fazer-pacoca-um-doce-classico-das-festas-juninas.html
Com mel         Inove na canjica com doce de leite sem açúcar   ------>  https://revistacasaejardim.globo.com/Casa-e-Comida/Receitas/Doces/noticia/2021/06/receita-de-canjica-com-doce-de-leite-sem-acucar.html
Salve-se Quem Puder         Helena é acusada de traição, mas beija Mário   ------>  https://gshow.globo.com/novelas/salve-se-quem-puder/noticia/resumo-de-salve-se-quem-puder-capitulos-de-28-de-junho-a-3-de-julho.ghtml
No Limite         Confira momentos divertidos e inusitados do reality   ------>  https://gshow.globo.com/realities/no-limite/stories/2021/06/20/no-limite-confira-momentos-divertidos-ou-inusitados-do-reality.ghtml
The Voice Kids         Técnicos relatam emoções na fase das Audições   ------>  https://gshow.globo.com/realities/the-voice-kids/2021/noticia/the-voice-kids-tecnicos-e-apresentadores-falam-sobre-as-emocoes-na-fase-das-audicoes.ghtml
'Melhorou minha autoestima'         Maiara diz que se sente mais segura após terapia   ------>  https://gshow.globo.com/Famosos/noticia/maiara-diz-que-se-sente-mais-segura-apos-terapia-melhorou-minha-autoestima.ghtml
   ------>  https://globoplay.globo.com/
GLOOB   Miraculous: as Aventuras de Ladybug é o sucesso da garotada! Convida a turma toda!   ------>  https://globoplay.globo.com/miraculous-as-aventuras-de-ladybug/t/DzVqV1jn8Q/
MULTISHOW   Nova temporada de O Dono do Lar é risada garantida!   ------>  https://globoplay.globo.com/o-dono-do-lar/t/skwYXXfTH2/temporadas/4/
sportv ao vivo   Acompanhe todos os jogos da Eurocopa no SporTV! Vem torcer!   ------>  https://globoplay.globo.com/sportv/ao-vivo/7339108/
Lázaro invadiu fazenda, roubou queijo, carregador de celular, R$ 30 e fugiu, diz morador   ------>  https://g1.globo.com/go/goias/noticia/2021/06/19/lazaro-invadiu-fazenda-vizinha-roubou-queijo-carregador-de-celular-r-30-e-fugiu-diz-morador.ghtml
Manifestantes fazem atos contra Bolsonaro e a favor da vacina em todos os estados e no DF   ------>  https://g1.globo.com/politica/noticia/2021/06/19/protestos-sabado.ghtml
Donos de terreiros denunciam truculência de policiais durante buscas a Lázaro   ------>  https://g1.globo.com/df/distrito-federal/noticia/2021/06/19/lazaro-barbosa-representantes-de-terreiros-denunciam-truculencia-de-policiais-durante-buscas-no-entorno-do-df.ghtml
Homem armado invade casa da ex para tentar matar atual dela e leva 4 tiros no rosto   ------>  https://g1.globo.com/mg/minas-gerais/noticia/2021/06/20/homem-armado-invade-casa-da-ex-para-tentar-matar-atual-dela-e-leva-quatro-tiros-no-rosto.ghtml
500 mil mortos por Covid: especialistas apontam o que nos espera no 2º semestre   ------>  https://g1.globo.com/bemestar/vacina/noticia/2021/06/19/500-mil-mortos-por-covid-e-agora-100-medicos-especialistas-apontam-o-que-nos-espera-no-2o-semestre.ghtml
Em noite de golaços, Bragantino marca nos acréscimos e derrota o Flamengo   ------>  https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/19-06-2021/flamengo-bragantino.ghtml
Análise: Flamengo domina, mas não decide, cansa e é castigado pelo Bragantino   ------>  https://ge.globo.com/futebol/times/flamengo/noticia/analise-flamengo-domina-mas-nao-decide-cansa-e-e-castigado-contra-um-arrumado-bragantino.ghtml
Anderson Silva vence Julio Cesar Chaves Jr em sua reestreia no boxe   ------>  https://ge.globo.com/boxe/noticia/anderson-silva-vence-julio-cesar-chaves-jr-em-sua-reestreia-no-boxe.ghtml
Análise: Cruzeiro deixa jogo controlado escapar por próprios erros e liga alerta   ------>  https://ge.globo.com/futebol/times/cruzeiro/noticia/analise-cruzeiro-deixa-jogo-controlado-escapar-por-proprios-erros-e-tem-que-ligar-alerta.ghtml
Duilio promete investir no futebol 'em breve' e anuncia superávit no Corinthians   ------>  https://ge.globo.com/futebol/times/corinthians/noticia/noticias-corinthians-duilio-video.ghtml
Isabella Santoni sobre namorado após cenas de sexo a três: 'Animado, não teve ciúme'   ------>  https://kogut.oglobo.globo.com/noticias-da-tv/noticia/2021/06/com-cenas-de-sexo-tres-em-serie-isabella-santoni-fala-sobre-reacao-do-namorado-ficou-animado-nao-teve-ciume.html
Chef Paola Carosella diz que está perto de se tornar brasileira: 'Já está saindo'   ------>  https://gshow.globo.com/programas/altas-horas/noticia/paolla-carosella-fala-que-esta-com-processo-adiantado-para-sua-naturalizacao-como-brasileira-ja-esta-saindo.ghtml
'Chiquinha' relembra cena icônica a Tatá Werneck: 'Era meu cabelo, Chaves cortou'   ------>  https://gshow.globo.com/Famosos/noticia/tata-werneck-se-emociona-ao-fazer-live-com-atriz-que-vive-chiquinha-no-chaves.ghtml
